date,open,high,low,close,volume
2021-08-01,4014917.873916626,4116959.270133972,3825972.027935028,3857097.0718238833,80330.0
2021-08-02,3858719.651574707,3914776.3767700195,3744777.002105713,3790836.041333008,74810.0
2021-08-03,3791132.5101013184,3849130.911834717,3647956.215301513,3690748.427261353,260.0
2021-08-04,3697874.327197266,3869083.689147949,3636637.5190429688,3847819.2946655275,79220.0
2021-08-05,3846150.895678711,4004113.1059211735,3616839.9844314577,3955801.9721923824,130600.0
2021-08-08,4336380.873703003,4404385.904708862,4212810.519165039,4259340.27722168,105250.0
2021-08-09,4247995.705828858,4506571.634820556,4153830.5351989744,4489461.276251221,117080.0
2021-08-10,4490223.358015442,4527245.885951233,4334934.421395874,4423474.14622345,80550.0
2021-08-11,4421298.232968139,4532167.184253693,4399450.271169282,4418495.720336151,75430.0
2021-08-12,4419234.072254181,4482425.153434753,4249728.725406647,4306828.632530212,81070.0
2021-08-15,4571334.235546875,4596723.740429687,4423900.341992187,4562469.754492188,58110.0
2021-08-16,4559223.82507019,4657293.766131592,4431203.161011505,4462657.726595307,2410.0
2021-08-17,4459904.58864212,4579700.0109207155,4317463.547246552,4341780.142977905,84140.0
2021-08-18,4346991.651081848,4474781.694987488,4302141.605987549,4350172.298391724,22360.0
2021-08-19,4350770.000107574,4573182.529050446,4278863.36023941,4548240.886109161,77920.0
2021-08-22,4744145.011523438,4803351.689646149,4674308.506782532,4781431.9193229675,49320.0
2021-08-23,4797539.9192672735,4918648.693850708,4776423.317747497,4825231.108437347,75370.0
2021-08-24,4822489.142971039,4853147.8383956915,4636638.448477172,4645507.953568268,74260.0
2021-08-25,4646953.433927918,4795282.219172668,4593955.212197114,4772323.790828705,63540.0
2021-08-26,4773852.601251221,4808286.730647278,4517204.336312867,4563116.508840942,73790.0
2021-08-29,4765584.895030975,4835948.35931015,4665243.866191864,4753665.986885071,47620.0
2021-08-30,4761474.01291275,4772104.503860474,4575982.195659637,4587286.24388504,61680.0
2021-08-31,4593061.560054779,4713085.571784973,4565711.842258453,4606873.265289307,71480.0
2021-09-01,4605152.298446655,4799777.76096344,4546905.366924286,4770307.412788391,74380.0
2021-09-02,4775764.269232178,4926175.339865113,4755719.242648316,4820422.905813599,80210.0
2021-09-05,4884243.4669097895,5075968.71362915,4842532.585217285,5065245.015216065,57300.0
2021-09-06,5070745.427252198,5164462.743365478,4995657.95386963,5159163.71869812,69460.0
2021-09-07,5155998.104634094,5176661.564162445,4216128.8213592535,4579006.96993103,187560.0
2021-09-08,4583319.375744629,4636507.481066895,4359866.620812988,4513483.040698242,100480.0
2021-09-09,4511512.204370117,4633768.213851165,4467570.175804138,4543641.017053222,73630.0
2021-09-12,4427976.682077026,4547964.412268067,4388033.062792968,4516187.9591262825,44520.0
2021-09-13,4522060.647656251,4595388.229846191,4267038.9211914055,4412957.766296387,96150.0
2021-09-14,4410470.536665344,4635889.2224761965,4387755.978571319,4619199.173526764,65330.0
2021-09-15,4620544.956814576,4754604.251483917,4588455.930361176,4724576.618592834,63400.0
2021-09-16,4730093.893173981,4764322.294953918,4622780.040909577,4692327.672088623,60910.0
2021-09-19,4745494.286420441,4749620.811734772,4604671.697538757,4641230.746811676,41980.0
2021-09-20,4647195.482666016,4655370.237213135,4185464.490875244,4217287.993835449,77960.0
2021-09-21,4231752.1010719305,4291471.612126923,3900638.403451538,3999465.8315483094,142550.0
2021-09-22,4004413.7671875004,4330974.868066406,3997017.6639648434,4289109.575390625,93980.0
2021-09-23,4287470.589637756,4425208.906173706,4242125.533103943,4417274.013519287,74540.0
2021-09-26,4204884.131478882,4325211.405809022,4017798.1229583737,4255871.767330932,69910.0
2021-09-27,4257536.829160309,4365185.222561645,4153367.3227745057,4156195.7663253783,54120.0
2021-09-28,4156366.5862495424,4214409.984091187,4031832.9928161623,4043256.3750709537,60010.0
2021-09-29,4045595.5767692565,4198265.328991699,4025073.2749557495,4096255.3866760256,48210.0
2021-09-30,4101120.5607528687,4354556.767840575,4089488.9773208615,4327116.894871522,64319.99999999999
2021-10-03,4700228.028764344,4848121.511196899,4646742.614128113,4752954.1556190485,42410.0
2021-10-04,4766778.396194458,4893492.555393219,4643970.589363098,4868333.668247223,66920.0
2021-10-05,4868132.828556061,5129479.952792359,4851381.455879974,5089618.805651093,76630.0
2021-10-06,5090460.044784546,5506449.630841827,4988542.052242279,5471547.292590331,116260.0
2021-10-07,5469235.3021942135,5469274.844647217,5286470.084414673,5316868.345160675,75680.0
2021-10-10,5426499.5159339905,5573632.542805481,5343367.4297973635,5401333.713928985,104430.0
2021-10-11,5405434.072654724,5714536.863853455,5382789.070907593,5681246.437889099,73840.0
2021-10-12,5690254.878790283,5705608.903134155,5361078.852044678,5545257.8481231695,74850.0
2021-10-13,5547043.64333725,5713699.058406067,5378684.934466553,5682277.248909759,73620.0
2021-10-14,5682911.2166870115,5795449.310081482,5633026.361627198,5680474.426705933,59840.0
2021-10-17,6036518.644443512,6114462.635746765,5865724.208226013,6102174.481372833,53390.0
2021-10-18,6104903.513378907,6213832.825585937,5956175.0145019535,6157542.427685548,80150.0
2021-10-19,6160020.717607116,6400720.541488647,6102502.218559265,6383292.197940826,80160.0
2021-10-20,6383975.313264466,6651165.709623719,6311153.962208557,6553037.647917176,79870.0
2021-10-21,6555655.913153077,6616470.282388305,6167061.727896118,6178791.561322021,105380.0
2021-10-24,6088179.948576354,6104237.485703277,5910971.074098968,6044317.152355194,42670.0
2021-10-25,6052011.338651276,6333460.695565796,6031279.245057679,6271035.715431213,51060.0
2021-10-26,6277593.695354462,6298257.721218109,5963034.665805817,6003198.126480103,57130.0
2021-10-27,6009422.886371613,6123050.175235748,5790229.030906677,5822661.232349396,88110.0
2021-10-28,5823190.830450439,6203260.925294495,5792389.418238831,6036967.179908752,88470.0
2021-11-01,6114881.203932953,6226586.566481781,5945587.737512969,6075505.0636344915,61210.0
2021-11-02,6077295.498591613,6410951.015982056,6051285.094493866,6307717.547934722,65260.00000000001
2021-11-03,6310489.323108673,6338945.838581848,6076878.398994446,6280046.540859222,61050.0
2021-11-04,6282306.596722412,6298502.792407227,6065375.430722046,6132247.14619751,49910.0
2021-11-05,6134824.810409546,6249586.48765564,6067983.7255859375,6091149.840621948,44460.0
2021-11-08,6320863.006414795,6769072.452961732,6320863.006414795,6745557.664640808,81080.0
2021-11-09,6753626.3181427,6850097.121615601,6634232.947640991,6691189.326013183,66130.0
2021-11-10,6698977.116192628,6903921.428692628,6299565.8688873295,6497835.481365967,96210.0
2021-11-11,6500479.554681397,6566612.973847962,6420288.403416443,6488854.891600036,50370.0
2021-11-12,6490353.35828247,6557187.889859009,6242601.727139282,6425422.373550415,63270.0
2021-11-15,6568834.413986206,6648675.22644043,6360744.972610474,6376626.907424927,53530.0
2021-11-16,6377836.023028565,6377886.159228516,5881567.861431885,6025278.264971924,115360.0
2021-11-17,6025087.696087646,6099335.416763306,5870404.108895875,6054534.043231201,73930.0
2021-11-18,6059778.1731063835,6116864.45109787,5673936.366629029,5717190.238945771,100370.0
2021-11-19,5710964.037749481,5854229.119649506,5582310.468825531,5828889.785676575,74440.0
2021-11-22,5904758.8095321655,5961936.313148499,5596758.500305176,5662322.57409668,76450.0
2021-11-23,5653131.306945801,5808784.989494324,5576594.6352005005,5780481.581695557,72480.0
2021-11-24,5788489.745845032,5802367.784617615,5622677.35216217,5749500.502133941,56680.0
2021-11-25,5750044.0997222895,5973358.696932984,5736234.040179444,5927875.019400024,56790.0
2021-11-26,5934290.762094117,5955817.899661255,5390191.856643677,5410067.707699585,104030.0
2021-11-29,5785303.500346375,5943558.864294433,5728609.887098693,5836473.172296143,58650.0
2021-11-30,5830096.532250976,5969223.469042969,5642640.335440827,5738068.179267121,73660.0
2021-12-01,5743174.838605499,5962497.194139862,5703279.692279816,5775337.271852875,66750.0
2021-12-02,5776524.346681214,5793659.705524445,5635170.258026886,5704650.755493164,54940.0
2021-12-03,5707606.541235351,5813524.472277832,5254363.872372436,5418292.177322388,89200.0
2021-12-06,4991671.624584961,5143324.710424805,4772031.244067383,5107846.050854492,89680.0
2021-12-07,5117406.327345276,5256226.277650451,5069165.584696198,5122245.587573241,56290.0
2021-12-08,5129093.673416138,5190738.168556213,4936901.931373596,5116655.292304993,55590.0
2021-12-09,5117303.030187988,5148993.699459839,4799412.973771668,4825233.87416687,58690.0
2021-12-10,4831961.641674042,5073916.599960327,4772607.494297028,4785816.482620239,68060.0
2021-12-13,5061046.2677612305,5073194.5818481445,4633763.177368164,4720216.321044922,80370.0
2021-12-14,4748266.130871583,4943971.570739746,4710501.446209718,4916677.310089111,62540.0
2021-12-15,4920182.248905945,5033272.932195283,4737723.447477722,4971585.25535202,80280.0
2021-12-16,4976663.501037598,5028714.388000488,4840966.675811768,4849550.184753418,48200.0
2021-12-17,4851661.280969239,4889023.750271606,4637081.733988953,4703128.149189758,67500.0
2021-12-20,4785897.349781799,4866390.897751617,4670501.061597443,4805551.916937255,57530.0
2021-12-21,4789799.380555725,5035518.628694152,4764665.753387451,4994248.824798584,57880.0
2021-12-22,4996381.136998748,5061938.669969941,4950503.125302887,4965829.855268097,40890.0
2021-12-23,4969299.459576416,5251099.912884521,4913450.617922974,5194392.172897339,56240.0
2021-12-24,5196057.509884643,5297089.745622254,5157297.293927002,5193879.165293884,45970.0
2021-12-27,5190842.775888061,5316843.136040498,5157663.8054122925,5180069.320903014,43900.0
2021-12-28,5199639.627278137,5199680.647325135,4855307.097772979,4875765.846212768,74390.0
2021-12-29,4878969.648730469,4937796.30324707,4733201.03647461,4767462.714379882,63920.0
2021-12-30,4769063.032909393,4915888.849632263,4721065.245475769,4836036.212467194,60960.0
2021-12-31,4838728.674577332,4985625.968312073,4691923.794909668,4745924.414772034,58180.0
2022-01-03,4855183.648247528,4882090.789215088,4691964.787414551,4766516.354643249,41060.0
2022-01-04,4780690.152550506,4890818.873689271,4694868.611986541,4719083.134947968,55590.0
2022-01-05,4725791.523577881,4848109.378674316,4385739.0190612795,4477588.25223999,83740.0
2022-01-06,4477580.855017089,4512705.321932984,4379589.056356811,4443136.815109253,63080.0
2022-01-07,4449155.834954835,4452232.19932251,4212967.444458008,4289019.713909912,88360.0
2022-01-10,4298278.130962372,4338838.098701477,4077257.6331710815,4296562.882896423,85500.0
2022-01-11,4327391.959667969,4457857.927148437,4271371.563671875,4420924.812890625,61780.0
2022-01-12,4423850.436630249,4580017.9987854,4397111.6846054075,4544552.662185669,53950.0
2022-01-13,4550476.551818848,4602791.483839416,4388514.829444885,4411578.1787109375,53420.0
2022-01-14,4416198.4351501465,4506769.402206421,4342166.604476929,4469229.505447388,50500.0
2022-01-17,4476270.75428009,4486567.720001221,4318221.162368774,4385748.892158508,41440.0
2022-01-18,4391601.763999176,4439908.457429504,4297006.791638946,4407697.059010315,47320.0
2022-01-19,4411175.674273682,4431240.056030273,4285770.685235596,4339591.5411254885,53770.0
2022-01-20,4343476.151721192,4531402.800082398,4227260.686837769,4242640.766293335,65280.0
2022-01-21,4243258.82388916,4285641.262182617,3701701.970300293,3803002.7748413086,155800.0
2022-01-24,3784636.9325897214,3905203.194091797,3442055.111132812,3828224.025743103,153770.0
2022-01-25,3833700.5804611207,3918385.8960662843,3733185.745652771,3860793.6123382566,79680.0
2022-01-26,3866801.9115409856,4065601.3280410767,3795423.2650756836,3849864.782913208,107870.0
2022-01-27,3852972.323032379,3896454.253944397,3721374.829742431,3891104.081371308,83520.0
2022-01-28,3896460.732107544,3980296.9257408143,3789703.934741974,3954024.131334686,69450.0
2022-01-31,3963870.386621094,4045146.672558594,3833113.398828125,4023949.616503906,61270.0
2022-02-01,4045757.5401763916,4125083.645248413,3999732.8368492126,4070373.448444366,55200.0
2022-02-02,4068739.3292358397,4083727.2972747805,3855491.8653213503,3877343.187588501,53740.0
2022-02-03,3879312.2110198974,3922858.279801941,3816963.8309646607,3921123.1671844483,50350.0
2022-02-04,3925705.6247833255,4389069.395126343,3899732.744172668,4376288.253228759,95490.0
2022-02-07,4463873.434231567,4683258.850623322,4391225.908799744,4616445.87565384,76600.0
2022-02-08,4630160.690709687,4795566.20164032,4510915.348548889,4651740.833683777,92880.0
2022-02-09,4659099.236837768,4739737.533551025,4566505.905319214,4696202.163441467,50920.0
2022-02-10,4699904.399272156,4844568.479272461,4578523.369255066,4608010.9973602295,89690.0
2022-02-11,4614132.520801544,4656097.20432663,4455529.766670227,4494228.881088257,69950.0
2022-02-14,4467152.1511360165,4545596.095275115,4417256.449868012,4519108.253861237,53600.0
2022-02-15,4523366.789897919,4754296.05896759,4513777.957752228,4735352.268630981,56340.0
2022-02-16,4743541.963821411,4744819.946609497,4619652.182373047,4673540.456604004,41400.0
2022-02-17,4674728.848171234,4704725.171413422,4271898.252983093,4319726.197357178,72630.0
2022-02-18,4323087.4372673035,4366070.333393097,4213497.050743103,4266303.085164642,64959.99999999999
2022-02-21,4097903.950996399,4214264.97806015,3939126.866872406,3955024.87516098,91820.0
2022-02-22,3963563.208636475,4113097.692315674,3897318.7685302733,4095249.061047363,82750.0
